0.0443627,0.0205788
0.08468,1.00157
0.0847315,2.00005
0.0847321,3
0.0847321,4
0.0847321,5
0.0847321,6
0.0847315,7
0.0846954,7.99995
0.083455,8.99906
1.00709,0.5002
1.01006,1.50005
1.01008,2.5
1.01008,3.5
1.01008,4.5
1.01008,5.5
1.01008,6.5
1.01008,7.49991
1.01004,8.49694
1.00533,9.45987
2.0002,0.0423842
2.00041,1.0031
2.00051,2.0001
2.00051,3
2.00051,4
2.00051,5
2.00051,6
2.00051,7
2.00051,7.99989
2.00036,8.99824
3.00001,0.501832
3.00001,1.50011
3.00001,2.5
3.00001,3.5
3.00001,4.5
3.00001,5.5
3.00001,6.5
3.00001,7.4999
3.00001,8.49686
3.00001,9.45753
4,0.0424763
4,1.00314
4,2.0001
4,3
4,4
4,5
4,6
4,7
4,7.99989
4,8.99817
5,0.501834
5,1.50011
5,2.5
5,3.5
5,4.5
5,5.5
5,6.5
5,7.4999
5,8.49686
5,9.45752
5.99999,0.0424739
5.99999,1.00314
5.99999,2.0001
5.99999,3
5.99999,4
5.99999,5
5.99999,6
5.99999,7
5.99999,7.99989
5.99999,8.99817
6.99964,0.501759
6.99949,1.50011
6.99949,2.5
6.99949,3.5
6.99949,4.5
6.99949,5.5
6.99949,6.5
6.99949,7.4999
6.99959,8.4969
6.9998,9.45762
7.99467,0.0401265
7.98996,1.00306
7.98992,2.00009
7.98992,3
7.98992,4
7.98992,5
7.98992,6
7.98992,7
7.98994,7.99995
7.99291,8.9998
8.91654,0.500938
8.9153,1.50005
8.91527,2.5
8.91527,3.5
8.91527,4.5
8.91527,5.5
8.91527,6.5
8.91527,7.49995
8.91532,8.49843
8.95564,9.47942
12.2231,5
13,5.79132
13,4.20868
13.1965,5
14.0079,5.79164
14.0079,4.20836
13.8038,5
15.099,5.89586
15.099,4.10414
14.7769,5
16.1056,5.89753
16.1056,4.10247
15.7848,5
17.1051,5.89813
17.1051,4.10187
16.7882,5
18.104,5.89929
18.104,4.10071
17.7899,5
19.103,5.89989
19.103,4.10011
18.792,5
20.0956,5.90071
20.0956,4.09929
19.7936,5
21.0068,5.99965
21.0068,4.00035
20.7969,5
